;Entity;Meat, Total | tonnes;Duck | tonnes;Goose and guinea fowl | tonnes;Sheep and goat | tonnes;Beef and buffalo | tonnes;Pig | tonnes;Chicken | tonnes
8869;Portugal;850139.0;10510.0;0.0;17920.0;92030.0;387920.0;339740.0
8928;Romania;1036495.0;0.0;0.0;54910.0;73730.0;398730.0;507106.0
8956;Russia;10387124.0;0.0;0.0;216754.0;1625163.0;3936829.0;4606359.0
9015;Rwanda;92319.0;0.0;0.0;21963.0;34575.0;14698.0;19064.0
9074;Saint Kitts and Nevis;2131.0;0.0;0.0;16.0;55.0;41.0;0.0
9133;Saint Lucia;4744.0;0.0;0.0;154.0;419.0;825.0;1327.0
9192;Saint Vincent and the Grenadines;3150.0;0.0;0.0;80.0;199.0;397.0;455.0
9251;Samoa;4092.0;0.0;0.0;0.0;383.0;1386.0;304.0
9310;Sao Tome and Principe;3367.0;38.0;0.0;11.0;192.0;534.0;573.0
9369;Saudi Arabia;969529.0;0.0;0.0;123860.0;43000.0;0.0;800650.0
9428;Senegal;269371.0;0.0;0.0;52341.0;79755.0;18764.0;116492.0
9442;Serbia;517862.0;0.0;0.0;35668.0;65008.0;301590.0;113577.0
9466;Seychelles;3075.0;6.0;0.0;22.0;11.0;450.0;567.0
9525;Sierra Leone;36767.0;1279.0;0.0;3712.0;10079.0;1458.0;18220.0
9552;Slovakia;157256.0;0.0;0.0;770.0;10710.0;72350.0;71407.0
9580;Slovenia;141679.0;0.0;0.0;1710.0;35740.0;32210.0;70000.0
9698;Solomon Islands;5630.0;0.0;0.0;0.0;769.0;2562.0;280.0
9757;South Africa;3319866.0;1183.0;502.0;185679.0;1036820.0;279776.0;1813887.0
9816;South America;45170036.0;22332.0;1060.0;324584.0;16437148.0;6441700.0;21941193.0
9934;South Korea;2605103.0;95200.0;13.0;1871.0;286000.0;1364000.0;856000.0
10229;Spain;7100719.0;5600.0;0.0;131760.0;695170.0;4641160.0;1625010.0
