;Entity;Code;Year;Cattle | Produced;Goat | Produced;Chicken | Produced;Turkey | Produced;Pig | Produced;Lamb and mutton | Produced;Meat, Total | tonnes;Game | tonnes;Duck | tonnes;Horse | tonnes;Camel | tonnes;Goose and guinea fowl | tonnes;Sheep and goat | tonnes;Beef and buffalo | tonnes;Pig | tonnes;Poultry | tonnes
6871;Melanesia;OWID_MNS;2019;74011.0;30335.0;21096000.0;84000.0;2231071.0;9328.0;563563;413566.0;427.0;75.0;;;369.0;11838.0;94774.0;42941.0
6930;Mexico;MEX;2019;8243901.0;2194600.0;1914917000.0;2930000.0;19649546.0;3115253.0;7328186;;21074.0;77115.0;;;103968.0;2027634.0;1600446.0;3514564.0
7076;Moldova;MDA;2019;48805.0;;36748000.0;62000.0;905032.0;103800.0;118825;;;36.0;;;1881.0;7628.0;64943.0;43516.0
7135;Mongolia;MNG;2019;943746.0;6671021.0;187000.0;;6492.0;9653315.0;456710;;;70812.0;12546.0;;258075.0;114682.0;356.0;239.0
7149;Montenegro;MNE;2019;26624.0;7621.0;2995000.0;;27683.0;32352.0;13504;;;;;;1352.0;5440.0;3000.0;3712.0
7208;Morocco;MAR;2019;1301409.0;2319372.0;654354000.0;11559000.0;12568.0;12399206.0;1409107;50957.0;;2264.0;3600.0;;210888.0;283002.0;626.0;841562.0
7267;Mozambique;MOZ;2019;105206.0;132836.0;39370000.0;;1202215.0;76516.0;220788;;3453.0;;;;2384.0;14866.0;91584.0;111541.0
7326;Myanmar;MMR;2019;1789272.0;6454217.0;1209393000.0;3000.0;12542244.0;1170713.0;3355294;;178832.0;;;6881.0;135348.0;483211.0;1092708.0;1644027.0
7385;Namibia;NAM;2019;128787.0;299931.0;13478000.0;;119826.0;509848.0;72162;6916.0;;;;;11482.0;31277.0;6590.0;15897.0
7444;Nepal;NPL;2019;585263.0;6253619.0;83627000.0;;756651.0;300631.0;406829;;352.0;;;;76677.0;238322.0;28579.0;63251.0
7562;Netherlands;NLD;2019;2123270.0;173500.0;622624000.0;0.0;16583820.0;566470.0;3104744;;;;;;15530.0;424300.0;1628290.0;1036360.0
7621;New Caledonia;NCL;2019;15627.0;186.0;467000.0;;32126.0;800.0;6648;;;;;;16.0;3214.0;2791.0;627.0
7680;New Zealand;NZL;2019;4404231.0;169361.0;124620000.0;251000.0;624284.0;22228133.0;1447658;23293.0;650.0;0.0;;129.0;450915.0;683923.0;44129.0;240088.0
7739;Nicaragua;NIC;2019;834942.0;2276.0;64134000.0;;259427.0;2035.0;304267;;;2286.0;;;60.0;148488.0;13925.0;139508.0
7798;Niger;NER;2019;196885.0;1288969.0;24612000.0;;33739.0;618307.0;180141;29282.0;;874.0;10725.0;;49462.0;57460.0;1518.0;19689.0
